id,tweet
1469109907727306753,El cat party that I am early for dinner and drink - Drinking a Jai Alai by @CigarCityBeer @ Oskar Blues Boulder Taproom  —  https://t.co/ydyoAhhsbf
1466985619461128198,Drinking a Slow Chill Dunkel by @oskarblues @ Oskar Blues Boulder Taproom —  https://t.co/kVwFnGvydx
1466984867221188614,Drinking a Bionic Cowboy High Tech IPA (Hop Forward Series) by @oskarblues @ Oskar Blues Boulder Taproom —  https://t.co/ntuqlnciLt
